title,version,lyrics,cleaned_lyrics
A Thousand Faces,Original,"
[Verse 1]
I stand surrounded by the walls that once confined me
Knowing I'll be underneath them
When they crumble when they fall
With clarity my scars remind me
Ash still simmers just under my skin
[Pre-Chorus]
Difference smiles again
So much I hide
How is stepping back a move forward?
[Chorus]
Now I'm forced to look behind
I'm forced to look at you
You wear a thousand faces
Tell me, tell me which is you
Broken mirrors paint the floor
Why can't you see the truth
You wear a thousand faces
Tell me, tell me which is you
Tell me which is you
[Verse 2]
Eerily time made no change
Pointing fingers, laying blame
Lying over and over and over and over
Deceiving your mind
Dug my grave, trash my name
Yet here I stand so you won't fade away
[Pre-Chorus]
Difference smiles again
So much I hide
How is stepping back a move forward?
[Chorus]
Now I'm forced to look behind
I'm forced to look at you
You wear a thousand faces
Tell me, tell me which is you
Broken mirrors paint the floor
Why can't you see the truth
You wear a thousand faces
Tell me, tell me which is you
Tell me which is you
[Bridge]
I bleed inside
Just let it out
Just let it out
I bleed inside
Just let it out
I'm going to let it out
Just let it out
Just let it out
Let it die
[Chorus]
Now I'm forced to look behind
I'm forced to look at you
You wear a thousand faces
Tell me, tell me which is you
Broken mirrors paint the floor
Why can't you see the truth
You wear a thousand faces
Tell me, tell me which is you
Tell me, tell me, tell me, tell me
Tell me which is you
[Outro]
You wear a thousand faces
Tell me which is you
Tell me which is you

",stand surrounded wall confined knowing underneath crumble fall clarity scar remind ash still simmer skin difference smile much hide stepping back move forward forced look behind forced look wear thousand face tell tell broken mirror paint floor ca see truth wear thousand face tell tell tell eerily time made change pointing finger laying blame lying deceiving mind dug grave trash name yet stand wo fade away difference smile much hide stepping back move forward forced look behind forced look wear thousand face tell tell broken mirror paint floor ca see truth wear thousand face tell tell tell bleed inside let let bleed inside let going let let let let die forced look behind forced look wear thousand face tell tell broken mirror paint floor ca see truth wear thousand face tell tell tell tell tell tell tell wear thousand face tell tell
Allusion,Blue Collar Records,"
[Verse 1]
The sun rises to another day
My constitution keeps changing till it slips away
So I lie awake and stare
My mind thinking, just wondering does anybody care
[Chorus]
Should I stay or go?
Should I sleep or stay awake?
Am I really happy or is it all
Just an allusion?
[Verse 2]
Sitting in my room now
Hiding thoughts, just hoping one day I'll get out
I hear a voice call my name
Breaking trance so silent, so I can stay the same
[Chorus]
Should I stay or go?
Should I sleep or stay awake?
Am I really happy or is it all
Just an allusion?
[Guitar Solo]
[Bridge]
Wait now, many things are left unsaid
This life remains the same but I change
I try to fool myself in believing
Things are gonna get better, but life goes on
[Chorus]
Should I stay or go?
Should I sleep or stay awake?
Am I really happy or is it all
Just an allusion?
[Outro]
Just an allusion
Just an allusion
Just an allusion
Just an allusion
Just an allusion
Just an allusion
Just an allusion

",sun rise another day constitution keep changing till slip away lie awake stare mind thinking wondering anybody care stay go sleep stay awake really happy allusion sitting room hiding thought hoping one day get hear voice call name breaking trance silent stay stay go sleep stay awake really happy allusion wait many thing left unsaid life remains change try fool believing thing gon na get better life go stay go sleep stay awake really happy allusion allusion allusion allusion allusion allusion allusion allusion
Are You Ready?,Original,"
[Verse 1]
Hey, Mr. Seeker
Hold on to this advice
If you keep seeking you will find
Don't wanna follow
Down roads been walked before
So hard to find unopened doors
[Chorus]
Are you ready
Are you ready
For what's to come?
Oh, I said are you ready
Are you ready
For what's to come?
[Verse 2]
Hey, Mr. Hero
Walking a thin, fine line
Under the microscope of life
Remember your roots, my friend
They're right down below
'Cause heroes come and heroes go
[Chorus]
Are you ready
Are you ready
For what's to come?
Oh, I said are you ready
Are you ready
For what's to come?
[Bridge]
Ten, nine, eight, seven, six, five, four, three, two, one
Count down to the change in life that's soon to come
Ten, nine, eight, seven, six, five, four, three, two, one
Count down to the change in life that's soon to come
Your life has just begun
Life has just begun
Life has just begun
Life has just begun
[Chorus]
Are you ready
Are you ready
For what's to come?
Oh, I said are you ready
Are you ready
For what's to come?
Oh, I said are you ready
Are you ready
For what's to come?
[Outro]
Your life has just begun
Life has just begun
Life has just begun
Life has just begun

",hey seeker hold advice keep seeking find wan na follow road walked hard find unopened door ready ready come oh said ready ready come hey hero walking thin fine line microscope life remember root friend right hero come hero go ready ready come oh said ready ready come ten nine eight seven six five four three two one count change life soon come ten nine eight seven six five four three two one count change life soon come life begun life begun life begun life begun ready ready come oh said ready ready come oh said ready ready come life begun life begun life begun life begun
Away in Silence,Original,"
[Verse 1]
You walked away in silence, you walked away to breathe
Stopped and turned around to say goodbye to me
I'm pleading as you're leaving, I'm begging you to stay
I'm not the man I used to be, I've changed
I'm not the man I used to be, I've changed
[Chorus]
Don't give up on us, don't give up on love
Don't give up on us, don't give up on love
If my life is the price, then my life it will cost
Now that I'm picking up the pieces, see the pain that I have caused
It's hard to believe in someone you thought was lost
Don't give up on us, don't give up on love
Don't you walk away in silence
[Verse 2]
In tears you counted reasons, tears covered you it seemed
Face down screaming ""God, help me please""
I'm pleading as you're leaving, I'm begging you to stay
I'm not the man I used to be, I've changed
I'm not the man I used to be, I've changed
[Chorus]
Don't give up on us, don't give up on love
Don't give up on us, don't give up on love
If my life is the price, then my life it will cost
Now that I'm picking up the pieces, see the pain that I have caused
It's hard to believe in someone you thought was lost
Don't give up on us, don't give up on love
Don't you walk away in silence, please come back to me
Don't you walk away in silence, I'm not the man I used to be
[Bridge]
(Well I pray that tomorrow you'll be home)
We can rebuild and forever, we can go on, go on, and go on
We can go on
(Well I pray that tomorrow you'll be home)
Look at horizons and let the light bring you home, home
Bring you home
[Outro]
Don't give up on us, don't give up on love
Don't give up on us, don't give up on love
If my life is the price, then my life it will cost
Now that I'm picking up the pieces, see the pain that I have caused
It's hard to believe in someone you thought was lost
Don't give up on us, don't give up on love
Don't walk away in silence, please don't walk away
Don't walk away in silence, I'm not the man I used to be

",walked away silence walked away breathe stopped turned around say goodbye pleading leaving begging stay man used changed man used changed give u give love give u give love life price life cost picking piece see pain caused hard believe someone thought lost give u give love walk away silence tear counted reason tear covered seemed face screaming god help please pleading leaving begging stay man used changed man used changed give u give love give u give love life price life cost picking piece see pain caused hard believe someone thought lost give u give love walk away silence please come back walk away silence man used well pray tomorrow home rebuild forever go go go go well pray tomorrow home look horizon let light bring home home bring home give u give love give u give love life price life cost picking piece see pain caused hard believe someone thought lost give u give love walk away silence please walk away walk away silence man used
Ayrılmayız Asla,Original,"
Yanyanayız aslan (ya ya)
Ayrılmayız asla (ya-a)
Kafa bozuk hatta (ay ay)
Ekip epey hasta
Yanyanayız aslan (yanyanayız aslan)
Ayrılmayız asla (ayrılmayız asla)
Kafa bozuk hatta (kafa bozuk hatta)
Ekip epey hasta (ekip epey hasta)
Gözlerim açıldı değilim
Yenik
Benim de işim bu yazarım yeni
Lirikler
Kalite çıkar hiç düşünmem
Yapamaz eleman
Ezikler!
Bilemez ""zorluklar nedir lan""
O zaman üstüne düşerim
Ben
Bulaşma bana ben yenilmem!
Yenilmez olmuşum istemeden (istemeden)
Duramam gecesi izlemeden
Mazide kalanı bilemem ben
Bi' şekil giderim bilenemem
Yoluna bakarak sitem eden
Herifin tekiyim nedir emel
Bu yüzden amacım yok yok (amacım yok yok)
Giyinirim bol (bol)
Para sizde bok gibi bize ondan yok(yok)
Özenirim çok (çok)
Rahat hayat of (of)
Haketmiyor o (o)
Pislikleri tanıyorum 50 metre öteden(yok)
İstemem ben sizin gibileri ben (yok)
Hayatımı çizdiğim basit bi tren yolu gibi yaşıyorum Önümde hiç bi' engel yok
Yanyanayız aslan (ya ya)
Ayrılmayız asla (ya-a)
Kafa bozuk aptal (ay ay)
Ekip epey hasta
Yanyanayız aslan (yanyanayız aslan)
Ayrılmayız asla (ayrılmayız asla)
Kafa bozuk hatta (kafa bozuk hatta)
Ekip epey hasta (ekip epey hasta)
Günlerce bu lanet ateşin içinde
Bana yardım et
Beni kurtar bu pisliğin içinden
Bana yardım et
Beni kurtar bu lanetin içinden
Yanyanayız aslan (yanyanayız aslan)
Ayrılmayız asla(ayrılmayız asla)
Kafa bozuk aptal(kafa bozuk aptal)
Ekip epey hasta (ekip epey hasta)
Yanyanayız aslan (yanyanayız aslan)
Ayrılmayız asla (ayrılmayız asla)
Kafa bozuk hatta (kafa bozuk hatta)
Ekip epey hasta (ekip epey hasta)

",yanyanayız aslan ya ya ayrılmayız asla kafa bozuk hatta ay ay ekip epey hasta yanyanayız aslan yanyanayız aslan ayrılmayız asla ayrılmayız asla kafa bozuk hatta kafa bozuk hatta ekip epey hasta ekip epey hasta gözlerim açıldı değilim yenik benim de işim bu yazarım yeni lirikler kalite çıkar hiç düşünmem yapamaz eleman ezikler bilemez zorluklar nedir lan o zaman üstüne düşerim ben bulaşma bana ben yenilmem yenilmez olmuşum istemeden istemeden duramam gecesi izlemeden mazide kalanı bilemem ben bi şekil giderim bilenemem yoluna bakarak sitem eden herifin tekiyim nedir emel bu yüzden amacım yok yok amacım yok yok giyinirim bol bol para sizde bok gibi bize ondan yok yok özenirim çok çok rahat hayat haketmiyor o o pislikleri tanıyorum 50 metre öteden yok ben sizin gibileri ben yok hayatımı çizdiğim basit bi tren yolu gibi yaşıyorum önümde hiç bi engel yok yanyanayız aslan ya ya ayrılmayız asla kafa bozuk aptal ay ay ekip epey hasta yanyanayız aslan yanyanayız aslan ayrılmayız asla ayrılmayız asla kafa bozuk hatta kafa bozuk hatta ekip epey hasta ekip epey hasta günlerce bu lanet ateşin içinde bana yardım et beni kurtar bu pisliğin içinden bana yardım et beni kurtar bu lanetin içinden yanyanayız aslan yanyanayız aslan ayrılmayız asla ayrılmayız asla kafa bozuk aptal kafa bozuk aptal ekip epey hasta ekip epey hasta yanyanayız aslan yanyanayız aslan ayrılmayız asla ayrılmayız asla kafa bozuk hatta kafa bozuk hatta ekip epey hasta ekip epey hasta
Beautiful,Original,"
[Verse 1]
She wears a coat of color
Loved by some, feared by others
She's immortalized
In young men's eyes
[Verse 2]
Lust she breeds in the eyes of brothers
Violent sons make bitter mothers
So close your eyes
Here's your surprise
[Chorus]
But, beautiful is empty
Beautiful is free
Beautiful loves no one
Beautiful stripped me
Stripped me
Stripped me
She stripped me
[Verse 3]
In your mind, she's your companion
Vile instincts often candid
Your regret
Is all that's left
[Chorus]
But, beautiful is empty
Beautiful is free
Beautiful loves no one
Beautiful stripped me
Stripped me
Stripped me
She stripped me
[Bridge]
She told me where I'm going
And it's far away from home
I think I'll go there on my own
I think I'll go there on my own
She told me where I'm going
And it's far away from home
I think I'll go there on my own
I think I'll go there on my own
[Chorus]
But, beautiful is empty
Beautiful is free
Beautiful loves no one
Beautiful stripped me
Stripped me
Stripped me
She stripped me
She stripped me
Stripped me

",wear coat color loved feared others immortalized young men eye lust breed eye brother violent son make bitter mother close eye surprise beautiful empty beautiful free beautiful love one beautiful stripped stripped stripped stripped mind companion vile instinct often candid regret left beautiful empty beautiful free beautiful love one beautiful stripped stripped stripped stripped told going far away home think go think go told going far away home think go think go beautiful empty beautiful free beautiful love one beautiful stripped stripped stripped stripped stripped stripped
Blistered,Demo,"
[Verse 1]
Two steps closer
A thousand steps away
Wait to the system
Until I know other way
My hands blistered
But now numb to the pain
My mind twisted
In this cruel democracy
[Refrain]
But now I'm free
Now I'm free
[Verse 2]
Feels like a thousand years
Taken from me
Choose my priorities
But they're shoved
In my face
My destiny in life
So far away
So far away
[Refrain]
But now I'm free
Now I'm free
[Chorus]
Oh, I guess it was a good ride
But looking back I feel the same
I guess it was a last time, no regrets
Who's to blame?
Show me how to live my life now
Very different from my own
A simple explanation
Further from the torn hole
I'm leaving now
I said I'm leaving now
I said I'm leaving now
And I got no place to go
[Bridge]
Oh yeah, yeah, yeah
I said I'm leaving now
I said I'm leaving now
I said I'm leaving now
And I got no place to go
[Outro]
But now I'm free
Now I'm free
Now I'm free, yeah
Now I'm free, yeah

",two step closer thousand step away wait system know way hand blistered numb pain mind twisted cruel democracy free free feel like thousand year taken choose priority shoved face destiny life far away far away free free oh guess good ride looking back feel guess last time regret blame show live life different simple explanation torn hole leaving said leaving said leaving got place go oh yeah yeah yeah said leaving said leaving said leaving got place go free free free yeah free yeah
Bound and Tied,Original,"
[Verse 1]
Tongue-tied, restless, and wanting
Looks like you might bite, you might bite
Breathing in, breathing out, you're weakened
The poison's hit your mind, your mind
Time's ticking and its got you thinking
You're happy with your life, your life
You're jaded, slated and singled out
By all those chains that bind, that bind
[Chorus]
Take a jet plane my way lately
Because now you are mine, you are mine
This airplane's going my way
'Cause now you're bound and tied
You're bound and tied
You're bound and tied
[Verse 2]
Now sit and reflect on all the fame
Time to dim your light, your light
Zooming in, zooming out, you're questioning
For that there is no crime, no crime
You're cheated, slated and singled out
By all those chains they bind, they bind
[Chorus]
Take a jet plane my way lately
Because now you are mine, you are mine
This airplane's going my way
'Cause now you're bound and tied
You're bound and tied
You're bound and tied
[Bridge]
And we fly, we fly, we fly
And we fly, we fly, we fly
And we fly, and we fly (Fly, fly, fly, fly)
[Outro]
Bound and tied
You're bound and tied
Bound and tied
You're bound and tied
Bound and tied
You're bound and tied
You're bound and tied

",restless wanting look like might bite might bite breathing breathing weakened poison hit mind mind time ticking got thinking happy life life jaded slated singled chain bind bind take jet plane way lately mine mine airplane going way bound tied bound tied bound tied sit reflect fame time dim light light zooming zooming questioning crime crime cheated slated singled chain bind bind take jet plane way lately mine mine airplane going way bound tied bound tied bound tied fly fly fly fly fly fly fly fly fly fly fly fly bound tied bound tied bound tied bound tied bound tied bound tied bound tied
Bread of Shame,Original,"
[Verse 1]
If you say I'm alive I guess I'm living
Why should I exercise a choice I've been given
Tell me everything's fine and peace is coming
I won't listen to the heartache I'm numbing
[Pre-Chorus]
When the world casts me down and says I've changed
I'll survive on all the promises you made to me
Guess there's no one to blame
When all you're living on is bread of shame
[Chorus]
Bread of shame
When the world says I've changed
Bread of shame
Just promise me fame I'll survive on the bread of shame
[Verse 2]
As long as you say I'm free, then keep these chains on me
Tell me down is up, I'll let you fill this broken cup
When the walls fall down, let them fall on me
'Cause no one's around who believes me
[Pre-Chorus]
When the world casts me down and says I've changed
I'll survive on all the promises you made to me
Guess there's no one to blame
When all you're living on is bread of shame
[Chorus]
Bread of shame
When the world says I've changed
Bread of shame
Just promise me fame I'll survive on the bread of shame
[Bridge]
Tell me where I sign my name (Tell me where I sign my name)
Inside I find no peace of mind to hide behind
Only bread of shame
Tell me where I sign my name (Tell me where I sign my name)
Inside I have no peace of mind
Only bread of shame
[Chorus]
Bread of shame
When the world says I've changed
Bread of shame
Just promise me fame I'll survive on the bread of shame

",say alive guess living exercise choice given tell everything fine peace coming wo listen heartache numbing world cast say changed survive promise made guess one blame living bread shame bread shame world say changed bread shame promise fame survive bread shame long say free keep chain tell let fill broken cup wall fall let fall one around belief world cast say changed survive promise made guess one blame living bread shame bread shame world say changed bread shame promise fame survive bread shame tell sign name tell sign name inside find peace mind hide behind bread shame tell sign name tell sign name inside peace mind bread shame bread shame world say changed bread shame promise fame survive bread shame
Bullets,Original,"
[Intro]
Walking around I hear the sounds of the earth seeking relief
I'm trying to find a reason to live
But the mindless clutter my path
Oh, these thorns in my side
Oh, these thorns in my side
I know I have something free
I have something so alive
I think they shoot 'cause they want it
I think they shoot 'cause they want it
I think they shoot 'cause they want it!
[Verse 1]
I feel forces all around me
Come on, raise your head
Those who hide behind the shadows
Live with all that's dead
[Chorus]
Look at me! Look at me! Look at me!
At least look at me when you shoot a bullet through my head
Through my head, through my head
[Verse 2]
In my lifetime when I'm disgraced
Jealousy and lies
I laugh aloud 'cause my life
Has gotten inside someone else's mind
[Chorus]
Look at me! Look at me! Look at me!
At least look at me when you shoot a bullet through my head
Through my head, through my head
Yeah
[Bridge]
Hey, all I want is what's real
Something I touch and can feel
I'll hold it close and never let it go
Said why, why do we live this life
With all this hate inside?
I'll give it away 'cause I don't want it no more
Please, help me find a place
Somewhere far away
Yes, I'll go and you'll never see me again
[Chorus]
Look at me! Look at me!
At least look at me when you shoot a bullet through my head
Through my head, through my head
Look at me! Look at me!
At least look at me when you shoot a bullet through my head
Through my head, through my head
[Outro]
Look at me!
Look at me!

",walking around hear sound earth seeking relief trying find reason live mindless clutter path oh thorn side oh thorn side know something free something alive think shoot want think shoot want think shoot want feel force around come raise head hide behind shadow live dead look look look least look shoot bullet head head head lifetime disgraced jealousy lie laugh aloud life gotten inside someone else mind look look look least look shoot bullet head head head yeah hey want real something touch feel hold close never let go said live life hate inside give away want please help find place somewhere far away yes go never see look look least look shoot bullet head head head look look least look shoot bullet head head head look look
